"YEAR","MONTH","RESOURCE TYPE","RESOURCE ID","ISSN/ISBN","RESOURCE","RESOURCE URL","RESOURCE LAUNCH","AUTHOR","FORMAT","REQUESTS"
2018,4,"journal",94,"1530-9169","Journal of Interdisciplinary History","http://muse.jhu.edu/journal/94","1999-05-01",,"pdf",2195
2018,4,"journal",116,"1530-9282","Leonardo","http://muse.jhu.edu/journal/116","2001-02-01",,"html",5432
2018,4,"journal",116,"1530-9282","Leonardo","http://muse.jhu.edu/journal/116","2001-02-01",,"pdf",6009
2018,4,"journal",117,"1530-9150","Linguistic Inquiry","http://muse.jhu.edu/journal/117","2000-10-01",,"html",901
2018,4,"journal",117,"1530-9150","Linguistic Inquiry","http://muse.jhu.edu/journal/117","2000-10-01",,"pdf",961
2018,4,"journal",119,"1531-4812","Leonardo Music Journal","http://muse.jhu.edu/journal/119","2000-12-01",,"html",688
2018,4,"journal",119,"1531-4812","Leonardo Music Journal","http://muse.jhu.edu/journal/119","2000-12-01",,"pdf",555
2018,4,"journal",149,"1537-9477","PAJ: A Journal of Performance and Art","http://muse.jhu.edu/journal/149","1996-01-01",,"html",2267
2018,4,"journal",149,"1537-9477","PAJ: A Journal of Performance and Art","http://muse.jhu.edu/journal/149","1996-01-01",,"pdf",1611
2018,4,"journal",163,"1530-9274","Perspectives on Science","http://muse.jhu.edu/journal/163","1998-04-01",,"html",1385
2018,4,"journal",163,"1530-9274","Perspectives on Science","http://muse.jhu.edu/journal/163","1998-04-01",,"pdf",1225
2018,4,"journal",165,"1531-328x","The Harvard International Journal of...","http://muse.jhu.edu/journal/165","1999-07-01",,"html",127
2018,4,"journal",165,"1531-328x","The Harvard International Journal of...","http://muse.jhu.edu/journal/165","1999-07-01",,"pdf",37
2018,4,"journal",193,"1531-4715","TDR: The Drama Review","http://muse.jhu.edu/journal/193","1999-08-01",,"html",2987
2018,4,"journal",193,"1531-4715","TDR: The Drama Review","http://muse.jhu.edu/journal/193","1999-08-01",,"pdf",1741
2018,4,"journal",209,"1530-9177","The Washington Quarterly","http://muse.jhu.edu/journal/209","1999-12-01",,"html",1193
2018,4,"journal",209,"1530-9177","The Washington Quarterly","http://muse.jhu.edu/journal/209","1999-12-01",,"pdf",804
2018,4,"journal",219,"1536-0091","Global Environmental Politics","http://muse.jhu.edu/journal/219","2003-04-17",,"html",4242
2018,4,"journal",219,"1536-0091","Global Environmental Politics","http://muse.jhu.edu/journal/219","2003-04-17",,"pdf",2902
2018,4,"journal",554,"1558-2485","Innovations: Technology, Governance, Globalization","http://muse.jhu.edu/journal/554","2012-07-11",,"html",103
2018,4,"journal",554,"1558-2485","Innovations: Technology, Governance, Globalization","http://muse.jhu.edu/journal/554","2012-07-11",,"pdf",34
2018,4,"journal",675,"1937-2108","African Arts","http://muse.jhu.edu/journal/675","2016-05-04",,"html",238
2018,4,"journal",675,"1937-2108","African Arts","http://muse.jhu.edu/journal/675","2016-05-04",,"pdf",143
2018,5,"journal",3,"1536-0075","The American Journal of Bioethics","http://muse.jhu.edu/journal/3","2002-02-01",,"html",295
2018,5,"journal",3,"1536-0075","The American Journal of Bioethics","http://muse.jhu.edu/journal/3","2002-02-01",,"pdf",189
2018,5,"journal",34,"1531-5169","Computer Music Journal","http://muse.jhu.edu/journal/34","2001-03-01",,"html",588
2018,5,"journal",34,"1531-5169","Computer Music Journal","http://muse.jhu.edu/journal/34","2001-03-01",,"pdf",369
2018,5,"journal",43,"1531-3298","Journal of Cold War Studies","http://muse.jhu.edu/journal/43","1999-01-01",,"html",4159
2018,5,"journal",43,"1531-3298","Journal of Cold War Studies","http://muse.jhu.edu/journal/43","1999-01-01",,"pdf",2571
2018,5,"journal",83,"1531-5088","International Organization","http://muse.jhu.edu/journal/83","2002-02-01",,"html",162
2018,5,"journal",83,"1531-5088","International Organization","http://muse.jhu.edu/journal/83","2002-02-01",,"pdf",116
2018,5,"journal",84,"1531-4804","International Security","http://muse.jhu.edu/journal/84","2001-03-01",,"html",13827
2018,5,"journal",84,"1531-4804","International Security","http://muse.jhu.edu/journal/84","2001-03-01",,"pdf",16408
2018,5,"journal",94,"1530-9169","Journal of Interdisciplinary History","http://muse.jhu.edu/journal/94","1999-05-01",,"html",3376
2018,5,"journal",94,"1530-9169","Journal of Interdisciplinary History","http://muse.jhu.edu/journal/94","1999-05-01",,"pdf",1500
2018,5,"journal",116,"1530-9282","Leonardo","http://muse.jhu.edu/journal/116","2001-02-01",,"html",3592
2018,5,"journal",116,"1530-9282","Leonardo","http://muse.jhu.edu/journal/116","2001-02-01",,"pdf",3927
2018,5,"journal",117,"1530-9150","Linguistic Inquiry","http://muse.jhu.edu/journal/117","2000-10-01",,"html",646
2018,5,"journal",117,"1530-9150","Linguistic Inquiry","http://muse.jhu.edu/journal/117","2000-10-01",,"pdf",952
2018,5,"journal",119,"1531-4812","Leonardo Music Journal","http://muse.jhu.edu/journal/119","2000-12-01",,"html",509
2018,5,"journal",119,"1531-4812","Leonardo Music Journal","http://muse.jhu.edu/journal/119","2000-12-01",,"pdf",425
2018,5,"journal",149,"1537-9477","PAJ: A Journal of Performance and Art","http://muse.jhu.edu/journal/149","1996-01-01",,"html",1476
2018,5,"journal",149,"1537-9477","PAJ: A Journal of Performance and Art","http://muse.jhu.edu/journal/149","1996-01-01",,"pdf",1136
2018,5,"journal",163,"1530-9274","Perspectives on Science","http://muse.jhu.edu/journal/163","1998-04-01",,"html",540
2018,5,"journal",163,"1530-9274","Perspectives on Science","http://muse.jhu.edu/journal/163","1998-04-01",,"pdf",401
2018,5,"journal",165,"1531-328x","The Harvard International Journal of...","http://muse.jhu.edu/journal/165","1999-07-01",,"html",80
2018,5,"journal",165,"1531-328x","The Harvard International Journal of...","http://muse.jhu.edu/journal/165","1999-07-01",,"pdf",38
